Player Name,Age,Position,Current Club,Club Ranking Group,Club Rankings,Valuation,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,England,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Jesse Lingard,29,Midfielder,Manchester United,Six_Ten,6,40,1668,963,705,England,Yes,27,15,12,4,1,3,2,1,1,1,0,6,2,4,25,16,9,3,0,0.32,0.11,0.22,0.09,0.38,417,1.35,67,62,556,834,0.16,87,135,-1,5
Hélder Wander Sousa Azevedo Costa,28,Midfielder,Wolverhampton Wanderers,Six_Ten,7,15,1345,657,688,Portugal,No,25,11,14,1,0,1,2,1,1,0,0,5,3,2,18,10,8,3,0,0.2,0.13,0.07,0,0.13,1345,1.2,75,54,448,673,0.2,200,113,-1,9
Romain Saïss,32,Midfielder,Wolverhampton Wanderers,Six_Ten,7,5,1144,544,600,Morocco,No,19,8,11,2,1,1,0,0,0,0,0,4,3,1,16,6,10,7,0,0.16,0,0.16,0.17,0.15,572,1.26,72,60,163,0,0.55,115,264,-1,7
Rui Patrício,34,Goalkeeper,Wolverhampton Wanderers,Six_Ten,7,20,3330,1620,1710,Portugal,No,37,18,19,0,0,0,0,0,0,0,0,8,6,2,43,20,23,0,0,0,0,0,0,0,0,1.16,77,90,0,0,0,405,328,56,19
André Gomes,29,Midfielder,Everton,Six_Ten,8,28,1986,972,1014,Portugal,No,27,13,14,1,1,0,1,1,0,0,0,10,6,4,27,13,14,7,0,0.09,0.05,0.05,0.09,0,1986,1.22,74,74,284,1986,0.32,220,213,-1,11
Bernard Anício Caldeira Duarte,30,Midfielder,Everton,Six_Ten,8,20,2128,960,1168,Brazil,No,34,16,18,1,0,1,3,1,2,0,0,14,9,5,19,5,14,5,0,0.17,0.13,0.04,0,0.08,2128,0.8,112,63,426,709,0.21,243,117,-1,12
Cenk Tosun,31,Forward,Everton,Six_Ten,8,18,1050,536,514,Turkey,No,25,13,12,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,74,37,-1,6
Jordan Pickford,28,Goalkeeper,Everton,Six_Ten,8,40,3420,1710,1710,England,Yes,38,19,19,0,0,0,0,0,0,0,0,14,9,5,44,20,24,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,409,260,57,14
Kurt Zouma,28,Defender,Everton,Six_Ten,8,25,2610,1350,1260,France,No,32,16,16,2,1,1,2,0,2,0,0,11,8,3,37,17,20,5,1,0.14,0.07,0.07,0.07,0.07,1305,1.28,71,82,522,1305,0.17,192,185,83,7
Lucas Digne,29,Defender,Everton,Six_Ten,8,30,2990,1511,1479,France,No,35,17,18,4,2,2,4,2,2,0,0,14,9,5,36,16,20,6,1,0.24,0.12,0.12,0.12,0.12,748,1.08,83,85,427,748,0.21,147,125,42,5
Richarlison,25,Forward,Everton,Six_Ten,8,50,2679,1283,1396,Brazil,No,35,17,18,13,7,6,1,1,0,0,0,14,9,5,32,15,17,6,1,0.47,0.03,0.44,0.49,0.39,206,1.08,84,77,383,2679,0.24,28,250,-1,1
Theo Walcott,33,Forward,Everton,Six_Ten,8,18,2122,1114,1008,England,Yes,37,19,18,5,3,2,2,2,0,0,0,13,9,4,33,18,15,1,0,0.3,0.08,0.21,0.24,0.18,424,1.4,64,57,2122,1061,0.04,90,170,-1,4
Harvey Barnes,24,Midfielder,Leicester City,Six_Ten,9,12,1007,601,406,England,Yes,16,9,7,1,0,1,2,2,0,0,0,3,3,0,16,7,9,0,0,0.27,0.18,0.09,0,0.22,1007,1.43,63,63,0,504,0,175,78,-1,10
Jonny Evans,34,Defender,Leicester City,Six_Ten,9,10,1995,1074,921,Northern Ireland,No,24,12,12,1,1,0,0,0,0,0,0,8,6,2,22,9,13,2,0,0.05,0,0.05,0.08,0,1995,0.99,91,83,998,0,0.09,224,319,32,11
Kasper Schmeichel,35,Goalkeeper,Leicester City,Six_Ten,9,12,3420,1710,1710,Denmark,No,38,19,19,0,0,0,0,0,0,0,0,10,6,4,43,18,25,3,0,0,0,0,0,0,0,1.13,80,90,1140,0,0.08,342,302,50,25
Wilfred Ndidi,25,Midfielder,Leicester City,Six_Ten,9,35,3299,1624,1675,Nigeria,No,38,19,19,2,2,0,0,0,0,0,0,10,6,4,42,18,24,8,0,0.05,0,0.05,0.11,0,1650,1.15,79,87,412,0,0.22,218,332,-1,9
Aaron Cresswell,32,Defender,West Ham United,Six_Ten,10,10,1589,888,701,England,Yes,20,11,9,0,0,0,1,1,0,0,0,3,2,1,22,12,10,1,0,0.06,0.06,0,0,0,0,1.25,72,79,1589,1589,0.06,290,191,80,20
Javier Hernandez,34,Forward,West Ham United,Six_Ten,10,,1335,694,641,Mexico,No,25,13,12,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,23,186,-1,3
Łukasz Fabiański,37,Goalkeeper,West Ham United,Six_Ten,10,5,3420,1710,1710,Poland,No,38,19,19,0,0,0,0,0,0,0,0,7,4,3,48,23,25,0,0,0,0,0,0,0,0,1.26,71,90,0,0,0,391,343,81,19
Robert Snodgrass,35,Midfielder,West Ham United,Six_Ten,10,7,2222,1108,1114,Scotland,No,33,16,17,2,1,1,5,4,1,0,0,6,3,3,31,16,15,10,0,0.28,0.2,0.08,0.08,0.08,1111,1.26,72,67,222,444,0.41,188,64,-1,8
Andre Gray,31,Forward,Watford,Eleven_Fifteen,11,15,1358,809,549,England,Yes,29,15,14,7,5,2,2,2,0,0,0,5,3,2,23,16,7,2,0,0.6,0.13,0.46,0.56,0.33,194,1.52,59,47,679,679,0.13,25,109,-1,3
Ben Foster,39,Goalkeeper,Watford,Eleven_Fifteen,11,3,3420,1710,1710,England,Yes,38,19,19,0,0,0,0,0,0,0,0,7,4,3,57,28,29,1,0,0,0,0,0,0,0,1.5,60,90,3420,0,0.03,365,353,116,18
Daryl Janmaat,33,Defender,Watford,Eleven_Fifteen,11,6,1521,836,685,Netherlands,No,18,10,8,0,0,0,2,2,0,0,0,3,2,1,22,8,14,3,0,0.12,0.12,0,0,0,0,1.3,69,85,507,761,0.18,395,121,84,23
Étienne Capoue,34,Midfielder,Watford,Eleven_Fifteen,11,8,2947,1518,1429,France,No,33,17,16,1,0,1,3,2,1,0,0,7,4,3,47,24,23,15,1,0.12,0.09,0.03,0,0.06,2947,1.44,63,89,184,982,0.49,253,153,-1,9
Gerard Deulofeu,28,Forward,Watford,Eleven_Fifteen,11,25,2082,949,1133,Spain,No,30,14,16,10,3,7,5,3,2,0,0,6,3,3,28,11,17,3,0,0.65,0.22,0.43,0.28,0.56,208,1.21,74,69,694,416,0.13,29,59,-1,1
Isaac Success,26,Forward,Watford,Eleven_Fifteen,11,5,1037,461,576,Nigeria,No,30,15,15,1,1,0,1,0,1,0,0,5,3,2,20,8,12,4,0,0.17,0.09,0.09,0.2,0,1037,1.74,52,35,259,1037,0.35,181,154,-1,10
